Movie Title,Sessions,Admits,Net Revenue (MNT),Gross Revenue (MNT),Occupancy %,"ATP (Avg. Ticket Price, MNT)",Genre,Director,Cast,Production Company
Наймаа,271,"14,824","125,782,363.80","138,358,600.00",18.73%,"8,493.32","Adventure, Drama",Davaazul Gantumur,"Enhjin Altantam, Davaazul Gantumur, Baatarhuu Boldbaatar",Etik Production
Өмнөдийг зорих замд,276,"13,217","125,680,272.74","138,248,300.00",18.10%,"10,459.88",Drama,Subd Bat-Tulga,"Park Kwang Hyun, Sara tuya Sambuu, Oh Soo Jung ",Tulgatan Pictures
Despicable Me 4,405,"13,175","121,011,909.11","133,113,100.00",11.03%,"10,103.46","Animated, Comedy",Chris Renaud,"Steve Carell, Kristen Wiig, Pierre Coffin",Illumination Entertainment
Doctor Strange 2,246,"13,345","114,802,709.18","126,280,500.00",14.09%,"9,476.12","Superhero, Action, Adventure, Fantasy, Horror",Sam Raimi,"Benedict Cumberbatch, Elizabeth Olsen, Chiwetel Ejiofor",Marvel Studios
Hunii Tsanaa 2: Huulias Gaduur,185,"13,969","108,153,582.09","118,986,700.00",24.72%,"8,516.48",,,,
Хүний эзэн,243,"12,406","106,652,477.39","117,298,350.00",17.31%,"9,454.97",,,,
The Roundup: Punishment,246,"11,385","104,921,454.57","115,413,000.00",14.29%,"10,137.54","Action, Crime, Drama",Heo Myeong-haeng,"Ma Dong-seok, Son Suk-ku, Choi Gwi-hwa",ABO Entertainment​
Evil Dead Rise,166,"11,996","104,124,454.66","114,534,900.00",27.38%,"9,547.76",Horror,Lee Cronin,"Alyssa Sutherland, Lily Sullivan, Morgan Davies",New Line Cinema
Homies 2,253,"11,140","103,041,909.13","113,711,000.00",15.63%,"10,101.76",Comedy,Amgalan Baatarkhuu,"E Dorjderem, Enhtulga Tsogt-Ochir, T Nyamdavaa",Homies Production
Minions: The Rise of Gru,481,"15,702","100,706,200.36","110,743,300.00",14.70%,"7,052.81"," Animated, Comedy, Adventure",Kyle Balda,"Steve Carell, Pierre Coffin, Taraji P. Henson", Illumination Entertainment
Wakanda Forever,224,"11,060","97,690,709.16","107,401,300.00",13.85%,"8,719.00","Superhero, Action, Adventure, Fantasy",Ryan Coogler,"Letitia Wright, Lupita Nyong'o, Danai Gurira",Marvel Studios
III дахь Цохилт,248,"9,964","97,011,818.18","106,723,000.00",18.72%,"10,792.86","Drama, Thriller",Erkhemburen Ravjih,,
