Movie Title,Sessions,Admits,Net Revenue (MNT),Gross Revenue (MNT),Occupancy %,"ATP (Avg. Ticket Price, MNT)",Genre,Director,Cast,Production Company
Gangnam Zombie,38,"1,860","15,316,181.84","16,844,800.00",33.97%,"9,059.14","Horror, Action",Lee Soo-choon,"Anya Taylor-Joy, Chris Hemsworth, Yahya Abdul-Mateen II​",Warner Bros. Pictures
Намайг аваад үлдээч 3,65,"1,476","15,234,818.17","16,758,300.00",10.82%,"11,353.86","Comedy, Romance",Tseren Amartuvshin,"Atarbold B, Saranbileg Sh, Ulxiisaikhan G",
Suzume,82,"2,071","15,073,531.86","16,570,760.00",9.48%,"8,001.33","Animation, Adventure, Drama",Makoto Shinkai,,
Furiosa: A Mad Max Saga,55,"1,461","14,993,181.81","16,492,500.00",10.35%,"11,288.52","Action, Adventure ",George Miller,"Elsa Pataky, Chris Hemsworth, Tom Burke",Warner Bros. Pictures
Будилаан,75,"1,806","14,378,545.48","15,812,400.00",10.31%,"8,755.48",,,,
A Quiet Place: Day One,135,"1,561","14,145,818.19","15,560,400.00",4.87%,"9,968.23","Horror, Thriller",Michael Sarnoski,"Lupita Nyong'o, Joseph Quinn, Alex Wolff",Paramount Pictures
Boonie Bears,64,"2,260","14,038,345.95","15,439,955.00",16.75%,"6,831.84","Animation, Adventure ",Ding Liang ,"Chris Boike, Joseph S. Lambert, Siobhan Lumsden",Fantawild Animation
Abigail,66,"1,570","13,899,090.92","15,289,000.00",15.08%,"9,738.22","Fantasy, Adventure ",Aleksandr Boguslavskiy,"Tinatin Dalakishvili, Eddie Marsan, Rinal Mukhametov​",Kinoatis
Хайрын гэрээ,71,"1,644","13,873,090.92","15,260,400.00",14.05%,"9,282.48","Comedy, Romance",Bayrsaikhan A ,"Hosbayr Dondog, Delgertsetseg E",
Minii muu naiz,122,"1,950","13,871,018.68","15,265,800.00",8.28%,"7,824.03","Drama, Comedy",Munkh-Amidral B,,A&0 Production
Gladiator 2,97,"1,322","13,775,090.90","15,152,600.00",10.77%,"11,461.88","Drama, Action",Ridley Scott,"Paul Mescal, Barry Keoghan, Denzel Washington",Paramount Pictures
Z Zone,88,"1,490","13,418,272.74","14,760,100.00",11.45%,"9,906.11","Drama, Horror",,"Choi Min-sik, Yoo Ji-tae, Kang Hye-jung",Show East
Oldboy,99,"1,354","13,414,909.09","14,756,400.00",11.38%,"10,898.38","Thriller, Drama",Park Chan-wook,,
Bagman,46,"1,417","13,305,818.18","14,636,400.00",30.58%,"10,329.15","Action, Thriller",Lee Tae-gon,"Sam Claflin, Antonia Thomas, Frankie Corio",Starz Entertainment
Сургуульйн сүнс 3,75,"1,677","13,141,727.30","14,455,900.00",11.16%,"8,620.10","Horror, Thriller",Soyolbaatar Chuluuntogtoh ,,Cine Art
Dark Nuns,56,"1,326","13,046,181.81","14,330,100.00",16.33%,"10,815.08","Horror, Thriller",Peter Du Pre,"Song Hye-kyo, Jeon Yeo-been, Lee Jin-wook",Next Entertainment World
Shazam Fury of Gods,48,"1,708","12,713,454.58","13,982,800.00",16.07%,"8,186.65","Action, Adventure Superhero",David F. Sandberg,"Zachary Levi, Asher Angel, Jack Dylan Grazer",Warner Bros. Pictures
John Wick: Chapter IV,80,"1,542","12,654,272.75","13,917,700.00",14.18%,"9,025.75","Action, Crime, Thriller",Chad Stahelski,"Keanu Reeves, Donnie Yen, Bill Skarsgård",Lionsgate
Surguuliin Suns 2,55,"1,757","12,642,036.38","13,897,600.00",18.38%,"7,909.85",Drama,Soyolbaatar Chuluuntogtoh ,,Cine Art
Scream,78,"1,726","12,479,545.49","13,727,500.00",15.60%,"7,953.36","Horror, Mystery, Thriller",Matt Bettinelli-Olpin,"Neve Campbell, Courteney Cox, David Arquette",Paramount Pictures
Ride On,31,"1,501","12,384,636.38","13,623,100.00",31.89%,"9,076.02","Action, Comedy, Drama",Larry Yang,"Jackie Chan, Liu Haocun, Kevin Guo",Alibaba Pictures
Ghostbusters: Afterlife,88,"1,700","12,363,545.49","13,599,900.00",9.29%,"7,999.94","Comedy, Fantasy, Horror",Jason Reitman,"Carrie Coon, Finn Wolfhard, Mckenna Grace",Columbia Pictures
Saran hill,71,"1,608","12,136,818.21","13,350,500.00",13.76%,"8,302.56","Drama, Mystery, Thriller",Bat-Erdene Chimeddorj,,
Tugsgul,57,"1,520","12,034,636.39","13,238,100.00",20.34%,"8,709.28",Drama,Batbayr Adilbish,,
Амир үнэлэгдэж мөрий,58,"1,381","11,888,159.11","13,068,350.00",18.95%,"9,462.96",,,,
The Flash,63,"1,506","11,663,272.75","12,829,600.00",8.83%,"8,518.99","Action, Adventure, Fantasy",Andy Muschietti,"Ezra Miller, Michael Keaton, Sasha Calle",Warner Bros. Pictures
Тэнгисийн бурхан ба бичкан баатрууд,56,"1,658","11,603,386.40","12,746,350.00",14.29%,"7,687.79",,,,
How To Save The Immortal,66,"1,685","11,582,090.94","12,691,800.00",10.85%,"7,532.23","Fantasy, Adventure, Drama",Derek Cianfrance,"Nikita Kologrivyy, Elizaveta Boyarskaya, Viktor Dobronravov",CTB Film Company
Urban Myths,58,"1,394","11,565,909.11","12,722,500.00",21.50%,"9,126.61","Horror, Mystery, Thriller",Hong Won-ki,"BONG JAE HYUN, Arin, AleXa",Megabox JoongAng PlusM
The Entity,42,"1,595","11,416,636.40","12,558,300.00",22.35%,"7,873.54","Horror, Mystery, Thriller",Diederik Van Rooijen,,
Resident Evil: Welcome To Raccoon City,70,"1,561","11,411,818.21","12,553,000.00",14.44%,"8,041.64","Action, Horror, Mystery",Johannes Roberts,"Kaya Scodelario, Robbie Amell, Hannah John-Kamen",Constantin Film
Sonic 2,46,"1,696","11,233,074.14","12,353,065.00",18.50%,"7,283.65","Animation, Action, Adventure",Jeff Fowler,"James Marsden, Ben Schwartz, Idris Elba",Paramount Pictures
Captain America: Brave New World,38,987,"11,067,363.62","12,168,100.00",12.34%,"12,334.37","Action, Adventure, Sci-Fi",Julius Onah,"Anthony Mackie, Harrison Ford, Shira Haas",Marvel Studios
Hunting Souls,51,"1,594","11,062,818.67","12,168,555.00",12.92%,"7,633.97","Horror, Thriller",David A. Armstrong,"Sunny Mabrey, Matt Borlenghi, Alpha Trivette",
The Addams Family 2,101,"1,712","11,039,981.86","12,142,300.00",8.49%,"7,092.46","Animation, Comedy, Family",Greg Tiernan,"Oscar Isaac, Charlize Theron, Chloë",Metro-Goldwyn-Mayer Pictures
Soril,53,"1,373","10,655,690.93","11,719,100.00",10.93%,"8,535.40",,,,
Strange World,64,"1,537","10,626,963.67","11,673,100.00",11.38%,"7,594.73","Animation, Adventure, Family",Don Hall,"Jake Gyllenhaal, Dennis Quaid, Jaboukie Young-White",Walt Disney Pictures
Longlegs,60,"1,064","10,413,272.72","11,454,600.00",10.13%,"10,765.60","Drama, Thriller",Various,"Nicolas Cage, Maika Monroe, Kiernan Shipka",Neon
Big Trip 2,73,"1,640","10,321,563.67","11,344,200.00",11.11%,"6,917.20","Animation, Adventure, Comedy",Vladislav Bayramgulov,"Jesse McCartney, Anton Eldarov, Christian Wunderlich",Licensing Brands
Avatar,51,"1,308","10,178,072.75","11,193,000.00",16.02%,"8,557.34","Action, Adventure, Fantasy",James Cameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver",20th Century Fox​
The Hunger Games: The Ballad of Songbirds,59,"1,029","10,067,636.36","11,062,400.00",6.00%,"10,750.63","Adventure, Sci-Fi, Thriller",Francis Lawrence,"Tom Blyth, Rachel Zegler, Peter Dinklage",Lionsgate
Huhuu,37,"1,185","9,998,636.38","10,998,500.00",50.95%,"9,281.43",Drama,Jamiyansuren Janchivdorj,"Borkhuu Tangad, Tserenbold Tsegmed, Bayartsetseg Altangerel",Essech Entertainment
Namag,60,"1,144","9,985,454.56","10,984,000.00",14.71%,"9,601.40",,,,
Cracked,49,"1,434","9,819,054.58","10,800,400.00",12.95%,"7,531.66","Horror, Thriller",Oz Perkins,"Byron Cherry, Sarah Langenfeld, John Kapelos",Indie Rights
Сэр сэр салхи,31,"1,123","9,798,181.83","10,775,500.00",9.55%,"8,595.28","Drama, Romance",Lkhagvadulam Purev-Ochir.,"Nomin-erdene Ariunbyamba, Azzaya Munhbat, Bulgan Chuluunbat",
Ulaan Uruu,27,"1,234","9,786,727.29","10,765,400.00",25.12%,"8,723.99",,,,
Blue Beetle,46,"1,218","9,637,000.02","10,600,700.00",10.04%,"8,703.37","Action, Adventure, Sci-Fi",Angel Manuel Soto,"Xolo Maridueña, Bruna Marquezine, George Lopez",Warner Bros. Pictures
Ангдай,41,"1,047","9,607,181.82","10,567,900.00",16.85%,"10,093.51","Drama, History",Tugsjargal Amartuvshin,,
Operation Undead,49,951,"9,563,000.00","10,519,300.00",13.30%,"11,061.30","Horror, Thriller",Kome Kongkiat Komesiri,"Thawatchanin Darayon, Akkarat Nimitchai, Seigi Ozeki",Kongkiat Production
Madame Web,75,"1,179","9,526,454.56","10,479,100.00",9.39%,"8,888.13","Action, Adventure, Sci-Fi",S.J. Clarkson,"Dakota Johnson, Sydney Sweeney, Celeste O'Connor",Columbia Pictures
My Sweet Monster,69,"1,604","9,497,509.57","10,446,155.00",6.11%,"6,512.57","Animation, Family, Fantasy",Vladimir Nikolaev,"Pauly Shore, Haylie Duff, Jon Heder",CTB Film Company
BLACKPINK WORLD TOUR [BORN PINK],17,890,"9,441,563.63","10,385,720.00",20.04%,"11,669.35","Documentary, Music",Sung-Il Choi,"Jisoo, Jennie, Rosé, Lisa",YG entertainment
Dolphin Boy,53,"1,368","9,298,272.76","10,228,100.00",12.22%,"7,476.68","Drama, Romance",Mohammad Kheyrandish,"Özge Yağız, Esra Bilgiç, Soraya Ghasemi",Sky Frame Studio
Minii Uzesgelent Daguul,33,"1,131","9,166,909.10","10,083,600.00",20.93%,"8,915.65","Comedy, Romance",Saruulbuyan Bold,"Gantsogt D, Hulan D, Otgonabyr R",Falco Entertainment 
Wish,81,"1,104","9,131,249.99","10,041,250.00",3.76%,"9,095.34","Animation, Adventure, Fantasy",Chris Williams,"Ariana DeBose, Chris Pine, Alan Tudyk",Walt Disney Pictures
Never Let Go,46,"1,019","9,078,181.82","9,986,000.00",16.42%,"9,799.80","Drama, Thriller",Jonathan Narducci,"Angela Dixon, Rami Nasr, Sarah Perles",Strawberry Blonde Films
Paws of Fury: The Legend of Hank,94,"1,408","8,822,763.66","9,703,600.00",7.87%,"6,891.76","Animation, Action, Comedy",Rob Minkoff,"Michael Cera, Samuel L. Jackson, Ricky Gervais",Paramount Pictures
Marry Me,60,"1,136","8,759,545.47","9,635,500.00",8.85%,"8,481.95","Comedy, Music, Romance",Kat Coiro,"Jennifer Lopez, Owen Wilson, Maluma",Universal Pictures
Finnick,32,"1,246","8,641,454.58","9,505,600.00",22.80%,"7,628.89","Drama, Romance",Denis Chernov,"Artur Babich, Danya Milokhin, Ida Galich",Riki Production
The Strangers: Chapter 1,31,947,"8,584,181.82","9,442,600.00",11.30%,"9,971.07","Horror, Thriller",Renny Harlin,"Madelaine Petsch, Froy Gutierrez, Gabriel Basso",Lionsgate
Lightyear,54,"1,375","8,462,182.30","9,303,055.00",7.08%,"6,765.86","Animation, Adventure, Sci-Fi",Angus MacLane,"Chris Evans, Tom Wlaschiha, Peter Sohn ",Pixar Animation Studios
The Dragon Spell,77,"1,390","8,433,690.94","9,274,900.00",8.85%,"6,672.59","Animation, Adventure, Family",Vladislav Bayramgulov,,
Bad Boys: Ride or Die,55,873,"8,191,727.27","9,010,900.00",11.56%,"10,321.76","Action, Comedy, Crime",Adil El Arbi,"Will Smith, Martin Lawrence, Jacob Scipio",Columbia Pictures
Super Pets,61,"1,265","7,971,181.85","8,768,300.00",10.17%,"6,931.46","Animation, Action, Comedy",Jared Stern,"Kate McKinnon, Ben Schwartz, Kevin Hart",Warner Bros. Pictures
Moonbound,45,"1,177","7,935,454.58","8,727,000.00",14.97%,"7,414.61","Animation, Adventure, Comedy",Alexander Gellner,"Aleks Le, Cindy Robinson, Proschat Madani",
The Black Phone,75,"1,109","7,879,181.84","8,667,100.00",8.64%,"7,815.24","Horror, Thriller",Scott Derrickson,"Mason Thames, Ethan Hawke, Miguel Mora ",Universal Pictures
Bullet Train,63,"1,014","7,694,018.20","8,462,700.00",8.02%,"8,345.86","Action, Comedy, Thriller",David Leitch,"Joey King, Brad Pitt, David Leitch",Sony Pictures 
Escape,80,749,"7,527,454.54","8,280,200.00",12.07%,"11,055.01","Action, Adventure, Thriller",Martin Wood,"Lee Je-hoon, Koo Kyo-hwan, Seo Hyeon-woo",The Lamp
Twisters,67,787,"7,436,454.55","8,180,100.00",8.30%,"10,394.03","Action, Adventure, Sci-Fi",Lee Isaac Chung,"Glen Powell, Kiernan Shipka, Maura Tierney",Amblin Netertainment
Hunt,54,957,"7,281,636.38","8,009,800.00",15.30%,"8,369.70","Action, Thriller, Crime",Lee Jung-jae,"Go Youn-jung, Lee Jung-jae, Heo Sung Tae",Sanai Pictures
Zurhen zug,35,832,"7,180,181.83","7,898,200.00",19.02%,"9,493.03","Drama, Action",Baynmunkh Batkhuu,"Bulgan Chuluunbat, Bathuslen Byambadorj, Ganjargal Batdorj",Warm Pictures
Bugturelt Morihon,41,"1,127","7,131,945.47","7,837,300.00",16.56%,"6,954.13",,,,
Winnie The Pooh Blood and Honey,39,825,"7,053,090.92","7,758,400.00",10.83%,"9,404.12","Horror, Mystery",Rhys Frake-Waterfield,"Natasha Tosini, May Kelly, Maria Taylor Hyatt",Jagged Edge Productions
Onward,24,"1,076","6,966,509.12","7,662,600.00",12.53%,"7,121.38","Animation, Adventure, Comedy",Dan Scanlon,"Chris Pratt, Tom Holland, Octavia Spencer",Walt Disney Pictures 
The Little Mermaid,34,966,"6,915,727.30","7,607,300.00",15.92%,"7,875.05","Adventure, Family, Fantasy",Rob Marshall,"Halle Bailey, Javier Bardem, Jessica Alexander",Walt Disney Pictures 
Haunted Mansion,35,823,"6,809,636.37","7,490,600.00",13.62%,"9,101.58","Comedy, Fantasy, Horror",Justin Simien,"LaKeith Stanfield, Tiffany Haddish, Danny DeVito",Walt Disney Pictures 
The Lost City,55,897,"6,545,454.56","7,200,000.00",8.84%,"8,026.76","Action, Adventure, Comedy","Aaron Nee, Adam Nee","Sandra Bullock, Channing Tatum, Daniel Radcliffe",Paramount Pictures
Beetlejuice Beetlejuice,56,722,"6,524,090.91","7,176,500.00",7.08%,"9,939.75","Comedy, Fantasy, Horror",Tim Burton,"Tim Burton, Michael Keaton, Winona Ryder",Warner Bros. Pictures
The War,33,924,"6,496,090.93","7,145,700.00",15.08%,"7,733.44","Drama, History, War",Edward Zwick,,
Baghead,42,680,"6,397,636.36","7,037,400.00",10.91%,"10,349.12","Comedy, Drama, Horror","Jay Duplass, Mark Duplass","Freya Allan, Jeremy Irvine, Ruby Barker",Studio Babelsberg
Beast,43,875,"6,314,727.29","6,946,200.00",12.28%,"7,938.51","Action, Drama, Thriller",Baltasar Kormákur,"Idris Elba, Sharlto Copley, Leah Jeffries",Universal Pictures
Mission Impossible 7,59,748,"6,143,818.19","6,758,200.00",6.24%,"9,035.03","Action, Adventure, Thriller",Christopher McQuarrie,"Tom Cruise, Rebecca Ferguson, Hayley Atwell",Paramount Pictures 
Stopmotion,49,660,"5,967,272.73","6,564,000.00",7.64%,"9,945.45","Animation, Drama, Fantasy",Various,"Aisling Franciosi, Caoilinn Springall, Stella Gonet",IFC Films
Immaculate,35,650,"5,920,909.09","6,513,000.00",9.23%,"10,020.00","Drama, Thriller",Michael Spierig,"Sydney Sweeney, Álvaro Morte, Benedetta Porcaroli",Neon
The Last Kiss,47,787,"5,890,000.01","6,479,000.00",8.18%,"8,232.53","Drama, Romance",Tony Goldwyn,,
Mummies,44,837,"5,845,272.74","6,429,800.00",9.32%,"7,681.96","Animation, Adventure, Comedy",Juan Jesús García Galo,"Eleanor Tomlinson, Karina Pasian, Sean Bean",Warner Bros. Pictures
Nope,58,781,"5,749,454.56","6,324,400.00",5.71%,"8,097.82","Horror, Mystery, Sci-Fi",Jordan Peele,"Daniel Kaluuya, Brandon Perea, Keke Palmer",Universal Pictures
Cats in the Museum,70,790,"5,731,545.47","6,304,700.00",5.28%,"7,980.63","Animation, Family, Fantasy",Vasiliy Rovenskiy,"Pavel Priluchny, Polina Gagarina, Roman Kurtsyn",Licensing Brands
Uurdlin hair,39,749,"5,707,090.92","6,277,800.00",5.70%,"8,381.58",,,,
Harbin,38,577,"5,608,636.36","6,167,500.00",12.19%,"10,688.91","Drama, Action, Thriller",Chen Kaige,"Hyun Bin, Lee Dong-wook, Park Hoon",CJ Entertainment
10 Lives,37,659,"5,558,727.28","6,114,600.00",10.94%,"9,278.20","Drama, Thriller",Chris Jenkins,"Zayn, Mo Gilligan, Simone Ashley",GFM Animation
Wicked,35,575,"5,531,181.82","6,084,300.00",9.52%,"10,581.39","Fantasy, Musical",Stephen Daldry,"Ariana Grande, Cynthia Erivo, Jonathan Bailey",Universal Pictures
Tad the Lost Explorer and the Emerald Tablet,47,929,"5,513,236.38","6,062,400.00",11.54%,"8,155.73","Animation, Adventure, Family","David Alonso, Enrique Gato","Óscar Barberán, Michelle Jenne, Alexandra Jiménez",Paramount Pictures
After Everything,47,651,"5,491,454.55","6,040,600.00",6.74%,"9,278.96","Drama, Romance",Hannah Marks,"Josephine Langford, Josephine Langford, Mimi Keene",Voltage Pictures
"Ruby Gillman, Teenage Kraken",61,802,"5,479,636.38","6,027,600.00",6.89%,"7,515.71","Animation, Adventure, Comedy","Kirk DeMicco, Faryn Pearl","Lana Condor, Jordan Matter, Preston Arsement",Universal Pictures
Барх шаарий,42,667,"5,447,090.92","5,991,800.00",9.03%,"8,938.21",,,,
Teenage Mutant Ninja Turtles 2,67,717,"5,389,454.56","5,928,400.00",5.04%,"8,268.34","Animation, Action, Adventure","Jeff Rowe, Kyler Spears",,
Imaginary,21,634,"5,294,090.92","5,823,500.00",17.46%,"9,185.33","Drama, Fantasy, Mystery",Chris Ebstein,"DeWanda Wise, Tom Payne, Taegen Burns","Starz Entertainment,"
Dear David,21,655,"5,205,272.74","5,721,800.00",16.07%,"8,735.57","Horror, Thriller",John McPhail,"Andrea Bang, Augustus Prew, Justin Long",Lionsgate Films
Bed Rest,15,602,"5,100,272.73","5,610,300.00",23.78%,"9,319.44","Horror, Thriller",Lori Evans Taylor,"Melissa Barrera, Kristen Sawatzky, Guy Burnet",Tubi
The Matrix Resurrections,50,681,"5,099,363.65","5,609,300.00",8.85%,"8,236.86","Action, Sci-Fi, Thriller","Lana Wachowski, Lilly Wachowski","Jessica Henwick, Keanu Reeves, Eréndira Ibarra",Warnes Bros. Pictures
The King's Man,42,677,"4,911,927.29","5,402,000.00",9.38%,"7,973.32","Action, Adventure, War",Matthew Vaughn,"Stanley Tucci, Ralph Fiennes, Gemma Arterton",20th Century Studios
Ghostbusters: Frozen Empire,37,543,"4,841,818.18","5,326,000.00",10.37%,"9,808.47","Comedy, Fantasy, Horror",Jason Reitman,"Mckenna Grace, Emily Alyn Lind, Carrie Coon",Sony Pictures
Concrete Utopia,49,567,"4,816,636.37","5,298,300.00",13.85%,"9,344.44","Drama, Thriller",Um Tae-hwa,"Lee Byung-hun, Park Ji-hu, Park Bo-young",Lotte Entertainment
"Lyle, Lyle, Crocodile",42,752,"4,785,127.29","5,262,200.00",8.70%,"6,997.61","Animation, Adventure, Comedy","Josh Gordon, Will Speck","Winslow Fegley, Javier Bardem, Shawn Mendes",Sony Pictures
FearBook 3,33,634,"4,671,181.83","5,136,300.00",10.63%,"8,101.42","Horror, Mystery, Thriller",,,
Top Gun: Maverick,90,628,"4,659,545.47","5,123,100.00",5.76%,"8,157.80","Action, Drama",Joseph Kosinski,"Miles Teller, Tom Cruise, Val Kilmer",Paramount Pictures
Indiana Jones and the Dial of Destiny,46,580,"4,646,636.37","5,111,300.00",6.67%,"8,812.59","Action, Adventure, Sci-Fi",James Mangold,"Harrison Ford, Mads Mikkelsen, Phoebe Waller-Bridge",Walt Disney Pictures 
Borderlands,46,492,"4,615,454.55","5,077,000.00",12.45%,"10,319.11","Action, Adventure, Sci-Fi",Eli Roth,"Cate Blanchett, Ariana Greenblatt, Gina Gershon",Starz Entertainment 
Dr. Cheon and Lost Talisman,39,609,"4,590,045.45","5,047,800.00",14.74%,"8,288.67","Drama, Fantasy, Mystery",Kim Seong-hoon,"Gang Dong-won, Huh Joon-ho, Esom",CJ Entertainment
Three Wishes for Cinderella,25,641,"4,575,636.38","5,033,200.00",15.66%,"7,852.11","Drama, Family, Fantasy",Sophie Kopera,"Cengiz Al, Astrid S, Ellen Dorrit Petersen",Storm Films
Noah’s Ark,45,544,"4,547,363.64","5,002,100.00",7.74%,"9,195.04","Animation, Adventure, Family","Sérgio Machado,","Rodrigo Santoro, Marcelo Adnet, Alice Braga",Warnes Bros. Pictures
Миний найз бүсгүй сүнс,27,440,"4,497,363.63","4,947,100.00",9.53%,"11,243.41","Comedy, Fantasy, Romance",Bujin Soyolbaatar,,Cine Art
Кикоро нүүд тарих 2,65,604,"4,197,431.82","4,614,050.00",5.69%,"7,639.16",,,,
The Equalizer 3,51,513,"4,196,636.37","4,616,300.00",5.94%,"8,998.64","Action, Crime, Thriller",Antoine Fuqua,"Denzen Washington, Dakota Fanning, Eugenio Mastrandrea",Sony Pictures
Хайрын домог,17,453,"4,156,818.18","4,572,500.00",13.52%,"10,093.82","Drama, Romance",Chinguun Balhjav,"Selenge Chadraabal, Lhagva-Ochir E, Gursed Dalhsuren",UBS Television
Kraven the Hunter,32,435,"4,112,272.73","4,522,500.00",6.04%,"10,396.55","Action, Adventure, Sci-Fi",J.C. Chandor,"Aaron Taylor-Johnson, Ariana DeBose, 	Fred Hechinger",Marvel Entertainment 
The Childe,35,490,"4,105,454.55","4,516,000.00",13.41%,"9,216.33","Action, Drama, Thriller",Park Hoon-jung,"Kim Seon-ho, Kang Tae-Ju, Kim Kang-woo",Goldmoon Film
Happy New Year,23,540,"4,054,181.83","4,459,600.00",13.71%,"8,258.52","Comedy, Drama, Romance",Kwak Jae-yong,,
Mean Girls,35,500,"4,020,272.73","4,422,300.00",11.29%,"8,844.60","Comedy, Drama",Mark Waters,"Reneé Rapp, Avantika Vandanapu, Angourie Rice",Paramount Pictures
Nehuul,50,539,"4,016,000.01","4,417,600.00",6.03%,"8,195.92",Drama,Bayrsaikhan Sainbayr,"Bazarragchaa Byambajav, Anhbayar Batbaatar, Batmaa Bayarsaikhan",Has Media Entertainment 
Return To Seoul,67,529,"3,978,318.18","4,372,400.00",8.35%,"8,265.41","Drama, Romance",Davy Chou,"Kim Sun-young, Kim Sung-oh, Shin Dong-ho",Les Films du Losange
65,34,472,"3,879,181.82","4,267,100.00",7.25%,"9,040.47","Action, Adventure, Sci-Fi","Scott Beck, Bryan Woods","Adam Driver, Ariana Greenblatt, Chloe Coleman",Raimi Productions
New Normal,35,475,"3,863,000.01","4,249,300.00",10.85%,"8,845.89","Drama, Comedy",Jung Bum-shik,"New Normal, Lee Yoo-mi, P.O",Unpa Studio
Tomb Of The River,28,493,"3,856,000.01","4,241,600.00",12.97%,"8,603.65","Action, Adventure, Drama",,,
Ron’s Gone Wrong,36,620,"3,844,854.56","4,215,900.00",9.71%,"6,799.84","Animation, Adventure, Comedy",Sarah Smith,"Kylie Cantrall, Thomas Barbusca, Liam Payne ",Locksmith Animation
Huligaan,20,507,"3,801,090.92","4,181,100.00",9.02%,"8,246.94",,,,
Nutcracker And The Magic Flute,44,561,"3,750,018.20","4,120,700.00",6.71%,"7,345.28","Animation, Family, Fantasy",Viktor Glukhushin,"Elena Shulman, Fedor Fedotov, Lyubov Aksyonova",CTB Film Company 
Halloween Ends,46,548,"3,743,200.01","4,116,800.00",8.23%,"7,512.41","Horror, Thriller",David Gordon Green,"Rohan Campbell, James Jude Courtney, Jamie Lee Curtis",Universal Pictures
Setgeld Harvasan Tuya,40,484,"3,682,727.28","4,051,000.00",7.00%,"8,369.83",Drama,Mar Tashimovich Baidjiev,"Dulguun-Ayush G, Anu Namshir, Anhbayar Pagmadul",Has Media Entertainment
200% Чоно,29,473,"3,666,000.00","4,032,600.00",8.52%,"8,525.58","Animation, Adventure, Comedy",Alexs Stadermann,"Samara Weaving, Ilai Swindells, Jennifer Saunders",Flying Bark Productions
Float,25,407,"3,609,363.64","3,970,300.00",11.37%,"9,755.04","Animation, Adventure, Family",Sherren Lee,"Robbie Amellm, Andrea Bang, Sarah Desjardins",Starz Entertainment
Killers of The Flower Moon,28,383,"3,540,636.37","3,892,700.00",25.03%,"10,163.71","Drama, Crime, History",Martin Scorsese,"Leonardo DiCaprio, Martin Scorsese, Lily Gladstone",Paramount Pictures
Cellar Door,31,352,"3,445,909.09","3,790,500.00",11.14%,"10,768.47","Thriller, Horror, Mystery",Vaughn Stein,"Scott Speedman, Jordana Brewster, Addison Timlin",Starz Entertainment
Snow Queen and the Princess,42,497,"3,432,000.01","3,775,200.00",6.37%,"7,595.98","Animation, Fantasy, Family",Andrey Korn,"Jason Griffith, Lina Ivanova, Courtney Shaw",Voronezh Animation Studio
Гайхамшигт Маурис,35,433,"3,315,909.10","3,647,500.00",4.26%,"8,423.79","Animation, Adventure, Family",Toby Genkel ,"Himesh Patel, Emilia Clarke, Hugh Laurie",Cantilever Media
Around the World in 80 Days,28,541,"3,263,581.83","3,587,700.00",9.47%,"6,631.61","Adventure, Comedy, Family",Frank Coraci,"Raphael Alejandro, Madi Monroe, Deven Christian Mack",StudioCanal
Death on the Nile,49,446,"3,225,818.19","3,548,400.00",3.24%,"7,956.05","Crime, Drama, Mystery",Kenneth Branagh,"Kenneth Branagh, Gal Gadot, Armie Hammer",TSG Entertainment
My Hero Academia: You are Next,29,388,"3,145,454.55","3,460,000.00",7.43%,"8,917.53","Animation, Action, Sci-Fi",Tensai Okamura,"Christopher Sabat, Mamoru Miyano, Yuki Kaji","Toho Co., Ltd."
Hurd,8,384,"3,107,272.73","3,418,000.00",30.77%,"8,901.04",,,,
Huulich,32,396,"3,066,309.10","3,366,300.00",6.60%,"8,500.76",,,,
Ambulance,36,424,"3,056,454.55","3,362,100.00",6.95%,"7,929.48","Action, Crime, Thriller",Michael Bay,"Eiza González, Jake Gyllenhaal, Olivia Stambouliah",New Republic Pictures
,,,,,,,,,,
Naughty,38,350,"3,013,818.19","3,315,200.00",5.69%,"9,472.00","Drama, Comedy",Dmitriy Suvorov,"Anastasiya Reznik, Alexander Petrov, Anna Churina",Nashe Kino
Beekeeper,38,356,"3,010,181.82","3,311,200.00",6.71%,"9,301.12","Action, Thriller",Antoine Fuqua,"Jason Statham, Josh Hutcherson, Taylor James",Amazon MGM Studios
Escape from Mogadishu,36,405,"2,992,727.28","3,292,000.00",6.60%,"8,128.40","Action, Drama, Thriller",Ryoo Seung-wan,"Zo In-sung, Kim Yoon-seok, Kim Yoon-seok",Lotte Entertainment
Dune,37,391,"2,978,545.46","3,276,400.00",12.01%,"8,379.54","Sci-Fi, Adventure, Drama",Denis Villeneuve,"Timothée Chalamet, Zendaya, Rebecca Ferguson",Warner Bros. Pictures
Dasgaljuulagch,34,395,"2,964,036.37","3,258,200.00",6.04%,"8,248.61",,,,
Afraid,47,294,"2,902,818.18","3,193,100.00",4.46%,"10,860.88","Horror, Thriller, Drama",Chris Weitz,"John Cho, Katherine Waterston, Lukita Maxwell",Columbia Pictures
Broker,21,392,"2,797,727.28","3,077,500.00",14.20%,"7,850.77","Drama, Comedy",Hirokazu Kore-eda,"Kang-ho Song, IU, Gang Dong-won",CJ ENM
Anatomy of a Fall,30,286,"2,786,431.82","3,060,450.00",9.63%,"10,700.87","Drama, Thriller",Justine Triet,"Sandra Hüller, Swann Arlaud, Milo Machado-Graner",Les Films Pelléas
